country_id;name;capname;caplong;caplat;gwcode;gwsyear;gwsmonth;gwsday;gweyear;gwemonth;gweday;isoname;isonum;isoab;month_start;month_end;centroidlong;centroidlat;in_africa;in_me
1;Guyana;Georgetown;-58,2;6,8;110;1966;5;26;2050;12;30;Guyana;328;GUY;0;852;-58.97478113093742;4.792016837841414;0;0
2;Suriname;Paramaribo;-55,2;5,833333;115;1975;11;25;2050;12;30;Suriname;740;SUR;0;852;-55.911826557714924;4.126394188552113;0;0
3;Trinidad and Tobago;Port-of-Spain;-61,5;10,65;52;1962;8;31;2050;12;30;Trinidad and Tobago;780;TTO;0;852;-61.25317221546237;10.468644577182568;0;0
4;Venezuela;Caracas;-66,9;10,5;101;1946;1;1;2050;12;30;Venezuela;862;VEN;0;852;-66.16956376289889;7,122448765;0;0
5;Samoa;Apia;-172;-13,8;990;1962;1;1;2050;12;30;Samoa;882;WSM;0;852;-172.1594595135083;-13.758366518284227;0;0
6;Tonga;Nuku'alofa;-175;-21,1;972;1970;6;4;2050;12;30;Tonga;776;TON;0;852;-174.83627440280733;-20.40289498768708;0;0
7;Argentina;Buenos Aires;-58,7;-34,6;160;1946;1;1;2050;12;30;Argentina;32;ARG;0;852;-65.16772757566255;-35.37643789660595;0;0
8;Bolivia;La Paz;-68,2;-16,5;145;1946;1;1;2050;12;30;Bolivia;68;BOL;0;852;-64.67093195240433;-16.714610135982618;0;0
9;Brazil;Brasilia;-47,9;-15,8;140;1960;4;21;2050;12;30;Brazil;76;BRA;0;852;-53,08981995;-10.773108971668735;0;0
10;Chile;Santiago;-70,7;-33,5;155;1946;1;1;2050;12;30;Chile;152;CHL;0;852;-71.37397936301171;-37.852488834032684;0;0
11;Ecuador;Quito;-78,5;-0,2166667;130;1946;1;1;2050;12;30;Ecuador;218;ECU;0;852;-78.76707250058782;-1.4274202327679084;0;0
12;Paraguay;Asuncion;-57,7;-25,3;150;1946;1;1;2050;12;30;Paraguay;600;PRY;0;852;-58.39102409400531;-23.236210521618357;0;0
13;Peru;Lima;-77;-12,1;135;1946;1;1;2050;12;30;Peru;604;PER;0;852;-74,37562756;-9.163760613504325;0;0
14;Uruguay;Montevideo;-56,2;-34,9;165;1946;1;1;2050;12;30;Uruguay;858;URY;0;852;-56,0123964;-32.79964544199576;0;0
16;Guatemala;Guatemala City;-90,5;14,62111;90;1946;1;1;2050;12;30;Guatemala;320;GTM;0;852;-90.35624304131866;15.702133365215436;0;0
17;Mexico;Mexico City;-99,1;19,43417;70;1946;1;1;2050;12;30;Mexico;484;MEX;0;852;-102.53288638013665;23.95046463905643;0;0
18;Barbados;Bridgetown;-59,6;13,1;53;1966;11;30;2050;12;30;Barbados;52;BRB;0;852;-59.56195465463932;13.178714519175859;0;0
19;Dominica;Roseau;-61,4;15,3;54;1978;11;3;2050;12;30;Dominica;212;DMA;0;852;-61.35575929397519;15.435598551529177;0;0
20;Grenada;Saint George's;-61,8;12,05;55;1974;2;7;2050;12;30;Grenada;308;GRD;0;852;-61.679379367887265;12.112926689756792;0;0
21;St. Lucia;Castries;-61;14;56;1979;2;22;2050;12;30;Saint Lucia;662;LCA;0;852;-60.968713051471454;13.897866026661413;0;0
22;St. Vincent and the Grenadines;Kingstown;-61,2;13,16667;57;1979;10;27;2050;12;30;Saint Vincent and the Grenadines;670;VCT;0;852;-61.193766318216326;13.254808148587353;0;0
23;Dominican Republic;Santo Domingo;-69,9;18,46667;42;1946;1;1;2050;12;30;Dominican Republic;214;DOM;0;852;-70.48463493308142;18.894446759731984;0;0
24;Haiti;Port-au-Prince;-72,3;18,5392;41;1946;1;1;2050;12;30;Haiti;332;HTI;0;852;-72.67946001747221;18.941608643307013;0;0
25;Jamaica;Kingston;-76,8;18;51;1962;8;6;2050;12;30;Jamaica;388;JAM;0;852;-77.31901254585752;18.151419746727814;0;0
26;Bahamas;Nassau;-77,3;25,08333;31;1973;7;10;2050;12;30;Bahamas;44;BHS;0;852;-76.54661984967977;24.201120062543293;0;0
27;Belize;Belmopan;-88,8;17,25;80;1981;9;21;2050;12;30;Belize;84;BLZ;21;852;-88,684767;17.21766753981657;0;0
28;Colombia;Bogota;-74,1;4,6;100;1946;1;1;2050;12;30;Colombia;170;COL;0;852;-73.07336875261724;3.9011550188725503;0;0
29;Costa Rica;San Jose;-84,1;9,933333;94;1946;1;1;2050;12;30;Costa Rica;188;CRI;0;852;-84.18794115958443;9.970202898077973;0;0
30;Cuba;Havana;-82,4;23,13194;40;1946;1;1;2050;12;30;Cuba;192;CUB;0;852;-79.03635216761461;21.621170477391054;0;0
31;El Salvador;San Salvador;-89,2;13,70861;92;1946;1;1;2050;12;30;El Salvador;222;SLV;0;852;-88.86651153085651;13.736896826778832;0;0
32;Honduras;Tegucigalpa;-87,2;14,1;91;1946;1;1;2050;12;30;Honduras;340;HND;0;852;-86.61914463205493;14.819221723529473;0;0
33;Nicaragua;Managua;-86,3;12,15083;93;1946;1;1;2050;12;30;Nicaragua;558;NIC;0;852;-85.03478313291133;12.839906274793638;0;0
34;Panama;Panama City;-79,5;8,966667;95;1946;1;1;2050;12;30;Panama;591;PAN;0;852;-80.10266267010438;8.507187222348685;0;0
35;Antigua and Barbuda;St. John's;-61,9;17,11667;58;1981;11;1;2050;12;30;Antigua and Barbuda;28;ATG;23;852;-61.791236923567524;17.279821027541683;0;0
36;St. Kitts and Nevis;Basseterre;-62,7;17,3;60;1983;9;19;2050;12;30;Saint Kitts and Nevis;659;KNA;45;852;-62.75351722576658;17.326188223554038;0;0
37;Iceland;Reykjavik;-21,9;64,15;395;1946;1;1;2050;12;30;Iceland;352;ISL;0;852;-18.605467107094096;64.99758855816263;0;0
38;Ireland;Dublin;-6,248889;53,33306;205;1946;1;1;2050;12;30;Ireland;372;IRL;0;852;-8.150580831311792;53.176379713642824;0;0
39;United Kingdom;London;-0,1166667;51,5;200;1946;1;1;2050;12;30;United Kingdom;826;GBR;0;852;-2.895583937382175;54.15534981444789;0;0
40;Cape Verde;Praia;-23,5;14,91667;402;1975;7;5;2050;12;30;Cape Verde;132;CPV;0;852;-23.967786705758957;15.97896676302186;1;0
41;Cote d'Ivoire;Yamoussoukro;-5,283333;6,816667;437;1960;8;7;2050;12;30;Cote d'Ivoire;384;CIV;0;852;-5.5556193407441805;7,631533133;1;0
42;Ghana;Accra;-0,2166667;5,55;452;1957;3;6;2050;12;30;Ghana;288;GHA;0;852;-1.2073012068942721;7.959847951565512;1;0
43;Liberia;Monrovia;-10,8;6,310555;450;1946;1;1;2050;12;30;Liberia;430;LBR;0;852;-9.307913524245231;6.448091677951305;1;0
45;Portugal;Lisbon;-9,133333;38,71667;235;1946;1;1;2050;12;30;Portugal;620;PRT;0;852;-8.562741069552777;39.60098843030283;0;0
46;Spain;Madrid;-3,683333;40,4;230;1946;1;1;2050;12;30;Spain;724;ESP;0;852;-3.6494757616204545;40.22729163790774;0;0
47;Burkina Faso;Ouagadougou;-1,524722;12,37028;439;1960;8;5;2050;12;30;Burkina Faso;854;BFA;0;852;-1.7401409192758153;12.277929376303579;1;0
48;Guinea;Conakry;-13,7;9,509167;438;1958;10;2;2050;12;30;Guinea;324;GIN;0;852;-10.94177278060585;10.438212001166052;1;0
49;Guinea-Bissau;Bissau;-15,6;11,85;404;1974;9;10;2050;12;30;Guinea-Bissau;624;GNB;0;852;-14.965216985323956;12.030308526131357;1;0
50;Mali;Bamako;-8;12,65;432;1960;9;22;2050;12;30;Mali;466;MLI;0;852;-3.524422393492041;17.350279391159127;1;0
52;Senegal;Dakar;-17,5;14,70889;433;1960;4;4;2050;12;30;Senegal;686;SEN;0;852;-14.467652727106739;14.366965429099391;1;0
53;Sierra Leone;Freetown;-13,2;8,49;451;1961;4;27;2050;12;30;Sierra Leone;694;SLE;0;852;-11.791921351005241;8,560284616;1;0
54;The Gambia;Banjul;-16,6;13,45306;420;1965;2;18;2050;12;30;Gambia;270;GMB;0;852;-15.386640916056963;13.452650446816133;1;0
55;Djibouti;Djibouti;43,14806;11,595;522;1977;6;27;2050;12;30;Djibouti;262;DJI;0;852;42.57776514002249;11.74967636407903;1;0
56;Eritrea;Asmara;38,93333;15,33333;531;1993;5;24;2050;12;30;Eritrea;232;ERI;161;852;38.85148404720634;15.358494018564471;1;0
57;Ethiopia;Addis Ababa;38,7;9,033333;530;1993;5;24;2050;12;30;Ethiopia;231;ETH;161;852;39.61603214110077;8,626219256;1;0
